channelreachidpk,channelareaidfk,sdsfeaturedescription,mediaidfk,sdsid,sdsmetadataid,sourceprojection,mileagestart,mileageend,reportedlength,depthmaintained,depthauthorized,widthfrom,widthto,datecreated,sdsfeaturename,dateuploaded,sourceagency,usacedistrictcode,dateloadedenterprise,projectedarea,areasizeuom,channelreachcategory,channelreachtype,epsg,Shape__Area,Shape__Length
CEMVR_IL_LA_MVR_64,CEMVR_IL_LA_MVR,La Grange Pool RM 143 - 144,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{9f91f8ed-bcb4-44ad-ae79-72a20b5bbb1d},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,143.000000000000000,144.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,4105508.081884049810469,Square Foot,Inland,non_fixed,3436,0.000040548773313,0.041512684044784
CEMVR_IL_LA_MVR_65,CEMVR_IL_LA_MVR,La Grange Pool RM 144 - 145,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{8ebf5657-41ee-4f14-bb45-34016bcc5403},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,144.000000000000000,145.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,4038785.030366830062121,Square Foot,Inland,non_fixed,3436,0.000039892826635,0.041050319164243
CEMVR_IL_LA_MVR_66,CEMVR_IL_LA_MVR,La Grange Pool RM 145 - 146,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{23bc41f4-cbf3-4249-908a-0ac4077978c5},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,145.000000000000000,146.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3838647.919329349882901,Square Foot,Inland,non_fixed,3436,0.000037918908447,0.042644929239263
CEMVR_IL_LA_MVR_67,CEMVR_IL_LA_MVR,La Grange Pool RM 146 - 147,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{b931ba86-c10d-4c9a-82a1-b751120ac763},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,146.000000000000000,147.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,4253885.100262899883091,Square Foot,Inland,non_fixed,3436,0.000042020363935,0.057207290977663
CEMVR_IL_LA_MVR_68,CEMVR_IL_LA_MVR,La Grange Pool RM 147 - 148,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{b936e474-dfec-4f93-a1e0-86bc8a89b1b8},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,147.000000000000000,148.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3639693.290048690047115,Square Foot,Inland,non_fixed,3436,0.000035953308043,0.048853038706639
CEMVR_IL_LA_MVR_69,CEMVR_IL_LA_MVR,La Grange Pool RM 148 - 149,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{7ed695a7-938b-4ba4-9ef0-eeecd8d147b2},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,148.000000000000000,149.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3761018.002181170042604,Square Foot,Inland,non_fixed,3436,0.000037153638232,0.051871732605385
CEMVR_IL_LA_MVR_7,CEMVR_IL_LA_MVR,La Grange Pool RM 86 - 87,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{8acbe021-dd61-4e5f-87d8-d464aac8d752},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,86.000000000000000,87.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,5911970.903192750178277,Square Foot,Inland,non_fixed,3436,0.000057937093061,0.064922838844631
CEMVR_IL_LA_MVR_70,CEMVR_IL_LA_MVR,La Grange Pool RM 149 - 150,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{8be7906b-0725-4085-a62b-e7f96f9d1fcc},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,149.000000000000000,150.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3210027.965215129777789,Square Foot,Inland,non_fixed,3436,0.000031712692589,0.039563119605132
CEMVR_IL_LA_MVR_71,CEMVR_IL_LA_MVR,La Grange Pool RM 150 - 151,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{b3a74b9a-0036-433a-b16e-b4573ffbc3d5},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,150.000000000000000,151.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3702735.126367500051856,Square Foot,Inland,non_fixed,3436,0.000036577628634,0.040665360414390
CEMVR_IL_LA_MVR_72,CEMVR_IL_LA_MVR,La Grange Pool RM 151 - 152,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{ee7161d4-f7cb-4169-9efc-46cb99c56a2e},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,151.000000000000000,152.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3867226.650122010149062,Square Foot,Inland,non_fixed,3436,0.000038203294253,0.046287467976585
CEMVR_IL_LA_MVR_73,CEMVR_IL_LA_MVR,La Grange Pool RM 152 - 153,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{b0ec371c-cfb9-433c-bac1-5a4b73c53099},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,152.000000000000000,153.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3667109.296255259774625,Square Foot,Inland,non_fixed,3436,0.000036231975855,0.044318038644591
CEMVR_IL_LA_MVR_74,CEMVR_IL_LA_MVR,La Grange Pool RM 153 - 154,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{90d05e8f-5eaa-4a3c-9924-882d223a526d},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,153.000000000000000,154.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3547352.528008520137519,Square Foot,Inland,non_fixed,3436,0.000035055513308,0.058235170697790
CEMVR_IL_LA_MVR_75,CEMVR_IL_LA_MVR,La Grange Pool RM 154 - 155,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{807c864c-e7aa-458f-a1f0-a2dc1e301b7d},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,154.000000000000000,155.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3316803.861401380039752,Square Foot,Inland,non_fixed,3436,0.000032784045743,0.038472810938948
CEMVR_IL_LA_MVR_76,CEMVR_IL_LA_MVR,La Grange Pool RM 155 - 156,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{2ff3c3e4-1d8d-4cf4-8745-5efbaaa21db1},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,155.000000000000000,156.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3714098.695073479786515,Square Foot,Inland,non_fixed,3436,0.000036718014599,0.037735470198228
CEMVR_IL_LA_MVR_77,CEMVR_IL_LA_MVR,La Grange Pool RM 156 - 157,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{5ee11256-9a82-4bf7-aaa8-0876205eaacb},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,156.000000000000000,157.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3556865.509610420092940,Square Foot,Inland,non_fixed,3436,0.000035169295870,0.039374265949553
