SurveyDateStamp	SurveyType	SurveyID	Reach_Name	Reach_ID	Cell_Size	Use	pctCoverage
20250415		IL_BR_MVR_20250415_CS_28602865_25A	Brandon Road Pool RM 286 - 287	IL_BR_MVR_1	10	1	43.1
19990519		IL_BR_MVR_19990519_CS_28602910_99A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	78.62
20030220		IL_BR_MVR_20030220_CS_28742880_03A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	62.63
20050110		IL_BR_MVR_20050110_CS_28602872_05A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	29.25
20070207		IL_BR_MVR_20070207_CS_28612872_07A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	27.88
20070214		IL_BR_MVR_20070214_CS_28722882_07A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	52.97
20071219		IL_BR_MVR_20071219_CS_28602870_07B	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	4.5
20071219		IL_BR_MVR_20071219_CS_28702880_07B	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	92.98
20101208		IL_BR_MVR_20101208_CS_28602870_10A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	1.99
20101220		IL_BR_MVR_20101220_CS_28702880_10A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	89.1
20130108		IL_BR_MVR_20130108_CS_28702880_13A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	86.58
20130227		IL_BR_MVR_20130227_CS_28652870_13A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	6.3
20220506		IL_BR_MVR_20220506_CS_28602880_22A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	96.6
20220506		IL_BR_MVR_20220506_CS_28802900_22A	Brandon Road Pool RM 287 - 288	IL_BR_MVR_2	10	1	7.92
19990519		IL_BR_MVR_19990519_CS_28602910_99A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	80.25
