SURVEYJOBIDPK,SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,MEDIAIDFK,SURVEYTYPE,SURVEY_YEAR,DATE_START,DATE_END,DN_RIV_MIL,UP_RIV_MIL,RIVER,POOL,SURVEY_VESSEL,SURVEY_LOCATION,DATA_DENSITY,WATER_SURFACE,WS_DATUM,STAGE,LOL_SURFACE,LABOR_SOURCE,PLOT_LINK,POINT_COUNT,Z_MIN,Z_MAX,Z_MEAN,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
MVRUM13_52965304_20B,,Smith Bay,Singlebeam,,,beforeDredging,2020,20200408,20200408,529.6,530.4,Mississippi_River,13,CORMORANT,CHANNEL,100,588.4,MSL 1912,5.4,583,Hired_Labor,,8303,-29.08,2.26,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM11_59805991_20A,,Waupeton,Multibeam,,,conditional,2020,20200401,20200401,598,599.1,Mississippi_River,11,CORMORANT,CHANNEL,5,608.1,MSL 1912,5.1,603,Hired_Labor,,117586,-17.98,-3.94,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM11_59605980_20A,,Finleys,Multibeam,,,conditional,2020,20200401,20200401,596,598,Mississippi_River,11,CORMORANT,CHANNEL,5,608.1,MSL 1912,5.1,603,Hired_Labor,,265783,-19.29,3.02,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM15_48614868_20A,,Bettendorf Bridge,Multibeam,,,conditional,2020,20201215,20201215,486.1,486.8,Mississippi_River,15,CORMORANT,CHANNEL,5,561.35,MSL 1912,0.35,561,Hired_Labor,,139691,-25.23,-8.63,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM14_49324945_20B,,LeClaire Canal,Multibeam,,,beforeDredging,2020,20201209,20201209,493.2,494.5,Mississippi_River,14,CORMORANT,PERIPHERAL,5,572.07,MSL 1912,0.07,572,Hired_Labor,,89738,-24.31,-2.92,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM11_60896110_20C,,Island 189,Multibeam,,,conditional,2020,20201202,20201202,608.9,611,Mississippi_River,11,CORMORANT,CHANNEL,5,606.05,MSL 1912,3.05,603,Hired_Labor,,219757,-33.76,-5.94,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM11_60706090_20C,,Turkey River,Multibeam,,,conditional,2020,20201203,20201203,607,609,Mississippi_River,11,CORMORANT,CHANNEL,5,606.73,MSL 1912,2.73,603,Hired_Labor,,281129,-38.45,-4.86,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRIWPE_21532158_21C,,Clark Island,Singlebeam,,,afterDredging,2021,20210609,20210609,215.3,215.8,Illinois_Waterway,PE,CORMORANT,CHANNEL,100,442.62,NGVD 29,2.47,440,Hired_Labor,,9763,-15.09,-0.77,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWPE_16061633_21A,,Cedar Street,Singlebeam,,,conditional,2021,20210609,20210609,160.6,163.3,Illinois_Waterway,PE,CORMORANT,CHANNEL,200,440.59,NGVD 29,0.59,440,Hired_Labor,,34056,-23.01,-2.8,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWPE_21482159_21D,,Clark Island,Multibeam,,,beforeDredging,2021,20210707,20210707,214.8,215.9,Illinois_Waterway,PE,DUBUQUE,CHANNEL,5,449.08,NGVD 29,8.88,440,Hired_Labor,,118943,-15.72,-2.2,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
